country_code,country_name,year,Electricity production from hydroelectric sources (% of total),Energy use (kg of oil equivalent per capita),Forest area (% of land area),Fossil fuel energy consumption (% of total),GDP growth (annual %),GDP per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Population growth (annual %),"Population, total",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Trade (% of GDP),Urban population (% of total population)
CAN,Canada,1960,,,,,,2264.94849658191,,,17909356.0,,,,69.061
CAN,Canada,1961,,,,,3.16329168371298,2246.08356619252,,1.99918455690026,18271000.0,,,35.810465007449,69.668
CAN,Canada,1962,,,,,7.42783736424002,2274.4284708191,,1.85988823339904,18614000.0,,,35.5113198692233,70.494
CAN,Canada,1963,,,,,5.29743988916486,2380.31732899108,,1.86284592763531,18964000.0,,,35.3317795610907,71.307
CAN,Canada,1964,,,,,6.65599998308328,2561.63849088572,,1.88571494336137,19325000.0,,,37.0015575200833,72.107
CAN,Canada,1965,,,,,6.31720005153649,2777.18317301162,,1.81016659700882,19678000.0,,,36.8945520983079,72.892
CAN,Canada,1966,,,,,6.75969011988171,3055.28807884507,,1.86281377101388,20048000.0,,,38.3052936900165,73.642
CAN,Canada,1967,,,,,3.06542080784173,3226.38273682011,,1.79935650480125,20412000.0,,,39.1242195642224,74.155
CAN,Canada,1968,,,,,5.00827404258794,3473.23722551871,,1.61340850346382,20744000.0,,,40.727384956863,74.662
CAN,Canada,1969,,,,,5.06703236278922,3776.15613110238,,1.35978347208384,21028000.0,,,41.8858994891117,75.161
CAN,Canada,1970,,,,,2.91871307258708,4135.82149842006,,1.39783160033129,21324000.0,,,41.4922765180909,75.654
CAN,Canada,1971,,,,,4.01884508716894,4535.39338907773,,2.94819452761436,21962032.0,,,40.6869585929765,76.09
CAN,Canada,1972,,,,,5.51967005803644,5106.73708049128,,1.16084656651465,22218463.0,,,41.8490864463021,75.971
CAN,Canada,1973,,,,,6.72864134770903,5858.33407318788,,1.22261658426849,22491777.0,,,44.2882822502655,75.851
CAN,Canada,1974,,,,,3.35777600467976,7056.70847496589,,1.39602166927373,22807969.0,,,48.084501970309,75.731
CAN,Canada,1975,,,,,1.5454033263216,7536.52009823861,,1.45942491323998,23143275.0,,,45.855654524918,75.611
CAN,Canada,1976,,,,,5.88927586333716,8838.94710677652,,1.31580656558804,23449808.0,,,44.2653442795685,75.503
CAN,Canada,1977,,,,,3.53482660580218,8949.10989272982,,1.17025687783266,23725843.0,,,45.7583788338602,75.543
CAN,Canada,1978,,,,,3.73597638764802,9154.43325277735,,0.99545694441135,23963203.0,,,48.844517999706,75.583
CAN,Canada,1979,,,,,3.72519949149593,10077.5026707269,,0.989698733234704,24201544.0,,,52.2380473828747,75.623
CAN,Canada,1980,,,,,2.17719921287991,11208.2027394178,,1.28959497847156,24515667.0,,,53.3179757243811,75.663
CAN,Canada,1981,,,,,3.41506518150013,12379.0368643833,,1.23339725480528,24819915.0,,,52.1025741262576,75.712
CAN,Canada,1982,,,,,-3.16615022065891,12527.3135323802,,1.18962434077573,25116942.0,,,46.6158827969427,75.874
CAN,Canada,1983,,,,,2.56225358775578,13477.1031699599,,0.988487567147771,25366451.0,,,46.7088835933124,76.035
CAN,Canada,1984,,,,,5.8985694010334,13930.4745502555,,0.944034716041094,25607053.0,,,52.4766984280909,76.195
CAN,Canada,1985,,,,,4.73768081475092,14170.1249406067,,0.91377427539001,25842116.0,,,52.8419465348871,76.354
CAN,Canada,1986,,,,,2.12148083355379,14521.1800806,,0.994040150630969,26100278.0,,,53.0651501053871,76.502
CAN,Canada,1987,,,,,4.07201574110678,16377.6902109541,,1.31816778174498,26446601.0,,,50.8663917985291,76.522
CAN,Canada,1988,,,,,4.41083900341744,19012.5723278349,,1.29662488995999,26791747.0,,,51.3657811368429,76.542
CAN,Canada,1989,,,,,2.33732975738413,20794.682233334,,1.79419351491939,27276781.0,,,50.0666340073171,76.562
CAN,Canada,1990,61.4849274437757,7641.54876651682,38.8455115614254,47.967790362209,0.202947874139198,21525.8611387148,10.5454235687613,1.50766067284807,27691138.0,62.2809125141363,22.6,49.9944644220497,76.582
CAN,Canada,1991,60.5478413847809,7529.00297774185,38.8402585886707,47.010049497806705,-2.0910550979319,21846.7930471354,10.5219930805906,1.24276123131684,28037420.0,61.3082849670533,22.7,49.2234668475419,76.62
CAN,Canada,1992,60.7238379566918,7616.97320016327,38.835005615916,48.036211924287095,0.890466180427183,20950.3305287651,10.483576244595,1.18367554138942,28371264.0,61.5709313614508,22.4,52.7380309449972,76.887
CAN,Canada,1993,60.7250602246887,7782.92897388185,38.8297526431612,46.5209931930506,2.65770691557481,20186.7988782965,10.4337219113849,1.09893087887878,28684764.0,61.6196126107872,22.3,58.2507961453047,77.152
CAN,Canada,1994,59.2882427988715,7971.05824834315,38.8244996704065,45.86374045777615,4.49404929532982,19997.6237373354,10.3759789315703,1.09525810706129,29000663.0,60.3096080932957,22.2,64.3915441455001,77.414
CAN,Canada,1995,59.9012442511319,7995.23710734235,38.8192466976518,46.9289665180776,2.68232822733793,20679.634792669,10.3138961557615,1.03476948386834,29302311.0,60.898071232486,22.4,69.0617480799547,77.675
CAN,Canada,1996,61.9610424896023,8070.95400503596,38.8139937248971,46.8632883320441,1.68896122499937,21296.9723536904,10.2257256686868,1.04531178311831,29610218.0,62.9703360015605,22.1,70.2600734560392,77.951
CAN,Canada,1997,61.071544837167,8069.49923971315,38.8087407521424,48.915970969230145,4.28016683621337,21901.5628548392,10.1043387729322,0.993788591465188,29905948.0,62.261608605505,21.8,74.3366100816522,78.34
CAN,Canada,1998,59.0331046696468,7963.20719845056,38.8034877793876,51.27893519280945,3.89288654344983,21024.5850687045,9.97521314589414,0.829909353323744,30155173.0,60.3256057098354,22.0,78.0811853628611,78.724
CAN,Canada,1999,59.6593692431884,8117.62871957032,38.7982348066329,50.810183298911355,5.14100353715349,22315.2466731545,9.86382646496894,0.812842623716166,30401286.0,61.0989602378965,22.2,80.1150293129295,79.103
CAN,Canada,2000,59.1414252189644,8224.74786425172,38.7929818338782,51.905119699835204,5.1385391803606,24271.0020563821,9.79565640755295,0.931281553452429,30685730.0,60.6190538229517,20.3,82.7653578503214,79.478
