ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly
1990-01-01,2.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,2.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,2.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,2.434,2.651433,,,,,0.16793624,,,,,0.014257629,,,,,-0.025229353,,,,,-0.01058773,,,,,-0.008395123,,,,,8.848387,-6.3349357
1994-01-01,2.559,2.648169,2.6828864,,,,0.15023834,-0.21284942,,,,0.039365057,0.26091895,,,,-0.069657795,0.52540785,,,,-0.02923253,-1.0920448,,,,-0.023178786,0.6208191,,,,8.897631,-6.316996
1995-01-01,2.747,2.5811443,2.8934171,2.540284,,,0.060720496,-0.106832094,-0.103825524,,,0.04374201,0.32122105,0.056295987,,,-0.07740296,0.6468372,0.040515963,,,-0.03248286,-1.3444321,0.10045482,,,-0.025756003,0.76429933,-0.16548103,,,8.909229,-6.2969055
1996-01-01,2.843,2.9230244,2.8812842,2.5155222,2.803183,,-0.023961479,-0.16784547,-0.20246911,0.1144041,,-0.13792387,0.32452476,0.10764227,-0.011860128,,0.24406092,0.65348977,0.077469654,-0.024401357,,0.1024224,-1.3582593,0.1920774,0.07835619,,0.08121181,0.77216,-0.3164125,-0.010530355,,8.931961,-6.2747464
1997-01-01,2.83,2.8845425,3.0752132,2.5322657,2.7605667,2.8513675,-0.1275054,0.04545337,-0.21827646,0.022669967,0.15898435,-0.14256635,0.26268765,0.06733636,-0.009534085,-0.010250364,0.25227594,0.5289694,0.04846167,-0.019615693,-0.014240205,0.10586991,-1.0994475,0.12015531,0.06298875,-0.040858056,0.08394538,0.6250274,-0.197934,-0.008465112,0.045208957,9.047304,-6.334781
1998-01-01,2.682,2.4718666,3.0392952,2.0139334,2.8283682,2.8246024,-0.1431583,0.055083707,-0.1445354,-0.09902639,-0.014442879,0.10864722,0.11669201,-1.2128879,-0.03160272,-0.0021591645,-0.19225489,0.23498063,-0.87290984,-0.065020315,-0.0029995958,-0.08068153,-0.48840037,-2.1642828,0.2087894,-0.008606452,-0.06397324,0.27765185,3.5652618,-0.028059388,0.009522938,9.160069,-6.316782
1999-01-01,2.817,2.9411643,3.0201466,2.9325857,3.1364324,2.81304,-0.025972297,0.114716284,-0.059950523,-0.13636369,-0.2198996,-0.0020672386,-0.04749935,0.05267794,-0.11648176,0.0357019,0.0036580476,-0.09564859,0.03791207,-0.23965283,0.049598478,0.0015351332,0.1988028,0.09399877,0.769559,0.14230813,0.0012172236,-0.113017865,-0.15484585,-0.103421696,-0.15746228,9.259529,-6.296736
