ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly
1990-01-01,6.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,7.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,7.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,6.728,6.8079123,,,,,-0.4940185,,,,,0.27854434,,,,,-0.0038997123,,,,,0.29259866,,,,,0.32849577,,,,,6.0405583,0.3656332
1994-01-01,6.585,6.8066473,7.1469803,,,,-0.6110527,0.6517443,,,,0.35267997,0.62528193,,,,-0.0049376357,-0.19016027,,,,0.3704749,-0.077830926,,,,0.41592616,-0.14561164,,,,5.91652,0.36703637
1995-01-01,6.65,6.750663,7.1937857,6.744153,,,-0.4503854,0.9014179,0.2841199,,,0.30919686,0.252944,-0.060269993,,,-0.0043288576,-0.07692513,-0.07371471,,,0.3247978,-0.03148478,0.36125502,,,0.3646452,-0.058903974,0.026025549,,,5.8384748,0.36826247
1996-01-01,6.909,6.666568,6.719445,7.1039124,6.93293,,-0.38017082,0.6688772,0.4776734,0.85681605,,0.28402215,-0.24463297,-0.11727134,0.005810686,,-0.0039764033,0.0743976,-0.14343162,-0.016607378,,0.29835284,0.03045028,0.70291793,-0.00097352813,,0.33495587,0.056968562,0.05063964,-0.04549993,,5.7640343,0.36935005
1997-01-01,6.762,6.752776,6.655878,6.583832,7.0128055,6.7511396,-0.52052593,0.52917457,0.35845676,1.0668831,0.07835886,0.3695453,0.12341424,-0.033419386,0.014103195,-0.060170237,-0.0051737563,-0.03753265,-0.04087441,-0.04030799,-0.09036822,0.38819122,-0.015361782,0.20031397,-0.0023628636,0.88153183,0.43581596,-0.02873992,0.014431027,-0.1104335,-0.1431362,5.719352,0.36557162
1998-01-01,7.049,7.052658,6.7365727,6.598949,6.17462,6.8489494,-0.73750275,0.69224143,0.25591964,0.63292766,0.44593966,0.54492,0.019250331,-0.07262378,0.050336998,-0.03737966,-0.00762906,-0.005854396,-0.08882432,-0.14386693,-0.056139607,0.57241476,-0.0023961528,0.43530294,-0.0084335115,0.54763556,0.6426407,-0.004482894,0.031360112,-0.39415827,-0.08892076,5.670831,0.36698306
1999-01-01,6.991,6.9104185,6.776476,6.7950516,6.4796467,6.778496,-0.87692136,1.0244374,0.3078468,0.43398008,0.37813446,0.56598425,-0.6357315,-0.12371835,-0.007955717,-0.044330675,-0.007923966,0.1933382,-0.1513168,0.022738034,-0.06657917,0.5945418,0.07913162,0.741561,0.0013329088,0.64947236,0.6674824,0.1480451,0.053423565,0.062296353,-0.10545622,5.599025,0.36823067
2000-01-01,6.85,6.775959,7.026379,6.644409,7.03519,6.414213,-1.0280359,1.2254653,0.49259436,0.50927114,0.21040142,0.5965189,-0.25050378,-0.06331592,-0.06495543,-0.0325586,-0.008351461,0.07618301,-0.077440105,0.18564749,-0.048898976,0.6266171,0.031181037,0.37951213,0.010882698,0.47700405,0.7034927,0.058335714,0.027340828,0.5086262,-0.07745217,5.5164003,0.36931762
2001-01-01,6.871,6.787033,6.8924356,6.7857113,6.7859907,6.475194,-1.1477095,1.426701,0.59677786,1.2018965,0.18750131,0.6794367,-0.83916247,-0.104484074,0.016814644,-0.055054132,-0.009512337,0.25520548,-0.12779184,-0.04805751,-0.082684465,0.71371853,0.104453355,0.6262718,-0.002817142,0.8065777,0.8012802,0.19541879,0.045117896,-0.13166519,-0.13096574,5.3842406,0.36557898
2002-01-01,6.747,6.8142524,6.79874,6.7514877,6.5187273,6.685794,-1.1521263,1.639057,0.6853337,0.9873139,0.32295832,0.7294093,-1.361966,-0.10597976,0.009064655,-0.07595585,-0.01021197,0.4142001,-0.1296212,-0.025907464,-0.11407625,0.7662126,0.16952845,0.63523686,-0.0015187014,1.112801,0.8602144,0.31716597,0.045763757,-0.07097977,-0.18068789,5.2537146,0.3670401
2003-01-01,6.799,6.869746,6.5820074,6.77576,6.884515,6.835655,-1.2179781,1.6311433,0.82643163,1.5340747,0.5060975,0.80593956,-1.61027,-0.10786752,0.014768175,-0.08531946,-0.011283418,0.48971412,-0.13193005,-0.042208556,-0.12813921,0.8466043,0.20043568,0.64655197,-0.002474275,1.2499838,0.9504688,0.3749894,0.046578925,-0.11564055,-0.20296255,5.127751,0.36824435
2004-01-01,6.769,6.8194857,6.4322596,6.64846,6.9383183,6.570901,-1.316386,1.7170289,0.81131244,1.7154328,0.47576123,0.8632737,-1.9039084,-0.11358919,0.0138882,-0.07526917,-0.012086116,0.57901514,-0.13892807,-0.039693523,-0.11304494,0.9068313,0.2369858,0.68084735,-0.002326843,1.1027408,1.0180848,0.44336998,0.04904963,-0.10875001,-0.17905438,4.990487,0.36928055
2005-01-01,6.756,6.760993,6.5485,6.528165,6.899885,6.6398916,-1.4385097,1.8560897,0.84746623,1.5358667,0.700803,0.9374003,-1.4551388,-0.1179424,-0.018160943,-0.07718247,-0.013123913,0.44253576,-0.14425239,0.051905338,-0.11591849,0.9846981,0.18112598,0.7069403,0.0030427026,1.1307719,1.1055045,0.33886343,0.05092942,0.14220724,-0.18360583,4.8193936,0.36563024
2006-01-01,6.554,6.7511077,6.533184,6.5846086,6.7107105,6.664716,-1.5973574,2.0186665,0.9168604,1.7879503,0.69120055,1.0414523,-1.4322335,-0.15903421,0.007773611,-0.09970809,-0.014580675,0.43556976,-0.19451074,-0.022217564,-0.14974916,1.0940002,0.17827487,0.9532423,-0.0013023986,1.4607863,1.2282162,0.33352935,0.06867352,-0.060870398,-0.237191,4.6322856,0.36709154
2007-01-01,6.35,6.429656,6.4308367,6.5232744,6.2948046,6.429796,-1.7234724,2.2468317,0.9888896,1.7683152,0.66835827,1.0510119,-1.7407235,-0.18109521,0.025041519,-0.1011412,-0.014714513,0.52938753,-0.22149299,-0.071570545,-0.15190153,1.1040422,0.21667364,1.0854747,-0.004195481,1.4817823,1.2394902,0.40536857,0.07819981,-0.19608483,-0.24060017,4.404965,0.36833403
2008-01-01,6.209,6.053632,6.301725,6.381736,6.203399,6.239635,-1.7795631,2.4385204,1.1051958,2.0294101,0.7588583,1.0189682,-2.0476727,-0.17134975,0.038800884,-0.09461364,-0.01426589,0.6227367,-0.20957357,-0.11089584,-0.14209794,1.0703815,0.25488064,1.027061,-0.006500739,1.3861495,1.2017001,0.4768489,0.07399157,-0.30382597,-0.22507207,4.1870947,0.36931595
2009-01-01,5.885,5.792762,6.186118,6.1155977,5.9046845,5.95825,-1.8015115,2.533674,1.2109255,2.2040298,0.7730143,1.0076643,-2.0718663,-0.13106659,0.06627287,-0.08509761,-0.014107632,0.6300944,-0.16030425,-0.18941283,-0.12780604,1.0585073,0.2578921,0.7856059,-0.011103422,1.2467337,1.1883689,0.48248297,0.056596655,-0.5189423,-0.20243481,3.9882524,0.36558816
2010-01-01,5.946,5.8624477,6.0458565,5.8649025,5.7131352,5.9236326,-1.8265725,2.5553293,1.2714406,2.5395317,0.8883412,1.0854156,-2.0914562,-0.09396514,0.10399269,-0.08564423,-0.015196175,0.6360521,-0.114926405,-0.29721895,-0.128627,1.1401817,0.2603305,0.5632219,-0.01742304,1.2547418,1.2800634,0.48704493,0.040575653,-0.8143032,-0.20373513,3.8315845,0.36697158
2011-01-01,5.572,5.596755,5.5958986,5.7719874,5.5255766,5.9569626,-1.8326974,2.6052487,1.2745165,2.561957,0.9763594,1.030351,-3.3243766,-0.09075319,0.11692814,-0.0884901,-0.0144252535,1.011007,-0.110997945,-0.3341894,-0.13290113,1.0823388,0.41379625,0.54396963,-0.019590257,1.2964357,1.2151241,0.7741596,0.039188683,-0.91559273,-0.21050502,3.7478504,0.36821342
2012-01-01,5.59,5.466934,5.5355854,5.425831,5.5929875,5.763898,-1.8464718,2.600944,1.3107977,2.5563931,1.0791843,1.0199584,-3.2457523,-0.019414952,0.10114075,-0.06666141,-0.014279752,0.9870958,-0.023745941,-0.28906786,-0.100117154,1.0714217,0.4040096,0.11637215,-0.016945224,0.9766317,1.2028676,0.75585,0.008383687,-0.7919714,-0.15857778,3.6641166,0.36932147
2013-01-01,5.591,5.794848,5.380159,5.3152113,5.2681994,5.43388,-1.7866799,2.6357284,1.2988043,2.7605038,1.0651846,1.1306103,-3.5485268,-0.016817799,0.14590408,-0.04329302,-0.015828917,1.0791752,-0.020569427,-0.4170048,-0.06502075,1.1876568,0.44169694,0.10080496,-0.024444915,0.63427,1.3333629,0.8263582,0.0072621945,-1.1424855,-0.10298779,3.5801535,0.36557335
2014-01-01,5.067,5.6444664,4.9719334,5.10499,5.3130918,5.1445694,-1.7518597,2.5654674,1.3273922,2.465786,1.0966444,1.0986164,-4.3036895,0.020418586,0.103095025,-0.018886,-0.015380993,1.3088348,0.024973458,-0.29465333,-0.028364426,1.1540486,0.53569454,-0.12238788,-0.017272644,0.2766918,1.2956315,1.0022157,-0.008817072,-0.8072741,-0.04492704,3.4964197,0.36699107
2015-01-01,5.116,5.70782,4.871317,5.1005197,5.4979997,5.378066,-1.7466823,2.4748635,1.3055458,2.9487166,1.1176937,1.1423454,-4.089724,-0.0033336352,0.12496749,-0.049069967,-0.015993211,1.2437638,-0.004077285,-0.3571665,-0.07369699,1.1999841,0.5090616,0.019981626,-0.02093718,0.718906,1.3472025,0.95238876,0.001439517,-0.97854406,-0.1167303,3.4126859,0.36827773
2016-01-01,5.155,6.0285053,4.5927978,4.818641,4.917094,5.163745,-1.5622178,2.5226054,1.2260848,2.4657009,1.0823097,1.2104542,-4.808881,0.025127888,0.12649828,-0.03923008,-0.016946757,1.4624733,0.03073329,-0.3615416,-0.058918707,1.2715293,0.59857744,-0.15061519,-0.02119365,0.5747454,1.4275253,1.1198615,-0.010850624,-0.99053067,-0.093322635,3.3289523,0.36920887
2017-01-01,5.183,5.996782,3.8873863,4.6777534,4.703076,4.8311834,-1.4951681,2.2588706,1.2941729,2.4863133,1.1860944,1.2069532,-5.855046,0.054028884,0.14142488,-0.003525307,-0.016897742,1.7806323,0.06608137,-0.40420297,-0.0052945735,1.2678515,0.7287971,-0.3238462,-0.023694469,0.05164797,1.4233963,1.3634857,-0.023330538,-1.1074119,-0.008386191,3.244989,0.36565796
2018-01-01,,5.91187,3.5871086,4.461978,4.607146,4.837823,-1.6360542,2.1026487,1.1625319,2.9051385,0.99881315,1.2499571,-6.0374165,0.054461237,0.18530045,-0.031799715,-0.01749981,1.8360946,0.06661017,-0.52960265,-0.04775922,1.3130254,0.7514974,-0.32643768,-0.031045426,0.46588585,1.4741122,1.4059551,-0.023517234,-1.4509746,-0.075646885,3.161255,0.36707458
2019-01-01,,,3.792561,3.797138,4.137248,4.441061,,2.304952,1.0338185,2.091537,1.1068041,,-5.7843437,0.16239275,0.14205493,0.011417553,,1.7591302,0.19861849,-0.40600365,0.017147746,,0.7199965,-0.97337323,-0.023800027,-0.16727434,,1.347021,-0.07012379,-1.1123453,0.027160695,3.0775213,0.36828405
2020-01-01,,,,4.0577755,3.9869676,4.2369375,,,1.1367344,2.0919452,1.1087122,,,0.10519363,0.14895636,0.024044452,,,0.12865968,-0.42572847,0.03611178,,,-0.6305248,-0.024956299,-0.35226634,,,-0.045424294,-1.1663862,0.057198245,2.9937873,0.36934972
