ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly
1990-01-01,13.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,12.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,11.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,11.774,11.765488,,,,,2.4618254,,,,,1.1054778,,,,,1.5093544,,,,,-2.2805288,,,,,-1.3567234,,,,,6.485626,3.8404562
1994-01-01,11.535,11.723368,11.656755,,,,1.800917,1.0644387,,,,0.46413678,0.29056615,,,,0.63370496,-0.13679716,,,,-0.95748377,-0.45425627,,,,-0.56962264,0.5410892,,,,6.491311,3.8604035
1995-01-01,11.46,11.843432,11.466208,12.062393,,,1.6403341,0.8525833,1.4986678,,,0.19034949,0.2831719,-0.056831185,,,0.259892,-0.13331597,-0.6399604,,,-0.39267856,-0.44269645,0.39040953,,,-0.23361084,0.5273197,0.49096146,,,6.4994397,3.8797064
1996-01-01,11.666,11.336797,11.439726,11.177368,11.618415,,1.3679072,0.8606744,0.61935383,3.6931243,,0.471047,0.21074525,-0.04725264,1.433565,,0.6431399,-0.09921786,-0.532099,-0.81626225,,-0.9717393,-0.32946837,0.32460845,-2.8127427,,-0.5781034,0.3924476,0.40821293,-0.28381434,,6.506153,3.8983922
1997-01-01,11.306,11.013376,11.186995,10.969394,11.294099,11.098002,1.3735999,0.7278747,0.6314853,2.8855305,1.8212966,0.758846,0.14191481,0.0011392945,1.1177306,0.46220762,1.0360836,-0.06681282,0.012829283,-0.6364283,0.9470524,-1.5654497,-0.22186239,-0.007826539,-2.193056,-1.1912916,-0.9313114,0.2642723,-0.009842302,-0.22128607,-1.2828715,6.5011196,3.8404891
1998-01-01,11.261,11.356118,11.1665535,10.981585,11.259339,11.489637,1.4411161,0.89016616,0.3855669,2.1993287,1.7926793,0.4764179,-0.095692314,-0.07401577,0.7491559,0.28588623,0.65047294,0.04505148,-0.8334713,-0.4265643,0.585774,-0.982819,0.14960048,0.5084614,-1.4698899,-0.7368417,-0.5846949,-0.1781972,0.6394181,-0.14831638,-0.79348606,6.4951715,3.8604538
1999-01-01,10.963,11.185309,11.072431,11.139963,11.260375,11.267198,1.1145259,0.8155971,-0.0697785,1.9383506,1.3480747,0.3165023,-0.12882368,-0.26055235,0.6022096,0.19287863,0.4321336,0.060649574,-2.9340086,-0.3428941,0.3952037,-0.65292364,0.20139638,1.7899001,-1.1815723,-0.4971244,-0.38843483,-0.2398941,2.2508974,-0.119224265,-0.5353406,6.4837694,3.8797357
2000-01-01,10.99,11.160047,10.874143,11.131107,11.042106,11.299427,0.97515625,0.5807214,0.57456756,1.7455887,1.2875279,0.19837685,-0.09050335,-0.05793919,0.61976683,0.15471812,0.27085206,0.04260854,-0.6524373,-0.35289103,0.31701374,-0.40923843,0.14148831,0.3980212,-1.2160206,-0.39876968,-0.2434626,-0.16853437,0.50053346,-0.12270019,-0.42942488,6.46994,3.8984218
2001-01-01,11.171,11.01957,10.750874,10.704707,10.817203,11.311832,0.7010754,0.46001294,0.29769948,1.6581786,1.528299,-0.035651434,0.0064464235,-0.037404902,0.65136874,0.21788186,-0.048676368,-0.0030349453,-0.42120633,-0.37088498,0.44643468,0.07354658,-0.010078009,0.2569581,-1.2780255,-0.56156754,0.043754052,0.012004461,0.32313886,-0.12895669,-0.60473776,6.44501,3.8405118
