ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly
1990-01-01,9.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,9.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,9.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,9.53,9.751145,,,,,-0.56868094,,,,,0.12473159,,,,,0.030363401,,,,,-0.1043856,,,,,0.058899917,,,,,9.630621,0.5795953
1994-01-01,9.388,9.577299,9.662222,,,,-0.3308171,-0.16378509,,,,-0.29909322,-0.35822833,,,,-0.072808236,0.19100648,,,,0.25030565,0.07992098,,,,-0.1412358,-0.25763968,,,,9.540931,0.63001704
1995-01-01,9.448,9.384143,9.498152,9.8476095,,,-0.31392556,-0.26170802,0.042298157,,,-0.5162661,-0.40697923,-0.56012416,,,-0.1256746,0.21700037,0.3326704,,,0.43205371,0.09079734,0.020258771,,,-0.24378772,-0.29270163,-0.13923693,,,9.471591,0.6801525
1996-01-01,9.831,9.151373,9.282076,9.494368,9.801778,,-0.36888808,-0.0794403,-0.01977419,0.026540715,,-0.69087183,-0.7953587,-0.9914942,-0.478385,,-0.16817887,0.42408338,0.58887076,0.13204223,,0.57817805,0.17744505,0.035860714,0.03470628,,-0.32623887,-0.57202613,-0.24646784,-0.040498428,,9.397239,0.73013353
1997-01-01,9.575,9.162518,8.928126,9.09622,9.414099,9.263451,0.071934976,-0.2009265,0.041369848,0.3085402,-0.13690586,-0.8764449,-0.7599033,-1.3030387,-1.0259738,-2.5648818,-0.21335289,0.40517864,0.77390414,0.28318587,0.46335292,0.7334807,0.16953494,0.047128774,0.074433215,-0.17705241,-0.4138689,-0.5465265,-0.3239123,-0.08685541,1.818169,9.281024,0.5797446
1998-01-01,8.845,9.3415,8.931165,8.861076,8.990357,8.94714,0.06736759,-0.1445803,0.0034247113,-0.026258912,-0.013881028,-0.58725476,-0.7419657,-1.5077616,-1.05092,-4.6191645,-0.14295538,0.39561436,0.8954937,0.29007143,0.83446467,0.4914628,0.16553305,0.05453326,0.076243035,-0.3188584,-0.2773095,-0.5336256,-0.3748028,-0.08896727,3.274389,9.160082,0.6301071
1999-01-01,8.598,8.531025,8.945143,8.481834,8.690891,8.79329,-0.7592367,0.044880554,-0.034889366,0.18219748,-0.0036832993,-0.45444638,-0.81975675,-1.8963689,-1.6043085,-4.97274,-0.11062584,0.43709233,1.1262963,0.44281587,0.89833915,0.3803179,0.18288827,0.06858855,0.11639073,-0.34326556,-0.21459563,-0.5895733,-0.47140366,-0.13581525,3.5250287,9.009477,0.68013483
2000-01-01,8.294,8.029432,8.537378,8.429039,8.602697,8.596704,-0.9437664,-0.039394066,0.024099492,0.26695845,-0.04515669,-0.7098483,-1.0595148,-1.9273453,-1.7134397,-5.3208494,-0.17279829,0.56493074,1.1446939,0.4729379,0.961226,0.5940591,0.23637845,0.06970891,0.124308065,-0.36729535,-0.33519977,-0.76200855,-0.4791038,-0.14505391,3.771793,8.866869,0.7301169
2001-01-01,8.191,8.5092945,8.005534,8.348669,8.101914,8.067037,-0.8192864,-0.37957597,0.097036175,-0.07992699,0.15605815,-0.0130500905,-0.9917247,-1.7597904,-1.5734563,-7.961115,-0.003176782,0.5287853,1.0451792,0.43430012,1.438197,0.010921382,0.22125445,0.06364873,0.11415243,-0.5495514,-0.0061624255,-0.7132537,-0.43745267,-0.13320339,5.643399,8.760328,0.57971996
2002-01-01,8.0,8.557705,8.065817,8.178718,7.928101,8.133406,-0.61344737,-0.27119458,0.012855325,-0.26993063,0.11885147,-0.13426961,-0.9888093,-1.8161621,-1.4823047,-7.100524,-0.03268524,0.52723074,1.0786597,0.40914077,1.282729,0.112367794,0.220604,0.065687604,0.1075395,-0.49014533,-0.0634039,-0.7111568,-0.4514657,-0.1254868,5.0333514,8.659269,0.6298738
