ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly
1990-01-01,20.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,19.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,19.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,20.102,19.978848,,,,,-3.049777,,,,,2.8461223,,,,,-4.1890383,,,,,0.4994724,,,,,0.5019433,,,,,20.696625,2.6735017
1994-01-01,20.197,20.389,20.374277,,,,-2.3553102,-2.7057662,,,,3.2539425,0.1761746,,,,-4.7892847,-0.21648543,,,,0.5710417,-0.008723742,,,,0.57386667,-0.005665998,,,,20.35794,2.776803
1995-01-01,20.23,20.734842,20.337927,20.804478,,,-1.7733619,-2.6722362,-1.4134222,,,4.6120496,0.16564398,-9.658084,,,-6.7882013,-0.2035453,9.25255,,,0.8093789,-0.008202293,-1.7129486,,,0.813383,-0.0053273207,1.2747885,,,20.18234,2.8792534
1996-01-01,20.679,20.47971,20.979713,21.10793,21.934717,,-1.8495367,-1.9716827,-1.2695669,-1.23477,,5.4502516,0.10246364,-6.9338317,-0.09546757,,-8.021901,-0.12590854,6.642686,0.30692413,,0.9564768,-0.0050737537,-1.2297778,-0.026055833,,0.9612085,-0.0032953606,0.9152094,0.0008768297,,20.002121,2.9810886
1997-01-01,20.745,20.30861,20.710327,20.749992,20.82811,21.68779,-1.6879914,-1.7416749,-1.3822244,-1.862052,-0.54909277,3.8355894,0.015543302,-3.7159262,-0.11958459,0.013835207,-5.6453757,-0.019099794,3.559898,0.38445938,-0.15185824,0.6731162,-0.000769667,-0.6590532,-0.032638058,-0.020542432,0.67644614,-0.0004998922,0.49047205,0.0010983346,-0.061379068,19.78302,2.6738074
1998-01-01,20.775,20.82239,20.579296,21.02768,20.743347,20.979013,-1.1128438,-1.8491149,-1.1921457,-1.6717762,-0.6794525,3.4946654,-0.23788299,-1.5422646,-0.031043433,0.043785937,-5.1435905,0.29231346,1.4775063,0.09980332,-0.48060396,0.6132867,0.011779395,-0.2735346,-0.008472642,-0.06501309,0.6163206,0.0076506184,0.20356639,0.00028512097,-0.19425371,19.577503,2.7770476
1999-01-01,20.806,20.883324,20.90137,21.13726,21.210876,20.867794,-0.8752145,-1.521872,-0.8672726,-1.1366196,-0.71968716,4.743086,-0.30786437,-3.6988602,-0.010170199,0.046559148,-6.9810658,0.3783074,3.5435486,0.032696757,-0.5110433,0.83237475,0.015244704,-0.65602636,-0.0027757387,-0.06913074,0.83649254,0.0099013075,0.4882195,9.340904e-05,-0.20655689,19.448353,2.8792987
2000-01-01,21.398,21.038422,21.26972,20.94109,20.84356,21.057539,-1.0135686,-1.0029157,-0.78391445,-1.2145509,-0.53373885,1.8967953,0.022371117,-6.348452,0.11350473,0.043296557,-2.7917802,-0.027489893,6.081886,-0.3649129,-0.47523242,0.33287287,-0.001107764,-1.1259555,0.030978693,-0.06428646,0.3345196,-0.0007194834,0.83794403,-0.0010424936,-0.19208258,19.298445,2.9811373
2001-01-01,20.767,21.220537,20.745043,20.39988,20.284466,20.865519,-0.75076413,-0.9409373,-0.8031538,-1.3636017,-0.4464668,-2.033398,0.13313703,-6.0016694,0.040616103,0.026125735,2.9928372,-0.16360039,5.7496643,-0.13057904,-0.28676173,-0.35684556,-0.006592626,-1.0644504,0.011085297,-0.03879133,-0.35861087,-0.0042818557,0.7921716,-0.00037304196,-0.11590526,19.053514,2.673804
2002-01-01,20.718,20.592773,20.555494,20.49546,20.635153,20.656929,-0.37109262,-1.1201048,-0.62440675,-0.9564124,-0.4886593,5.47098,-0.17804712,-5.728843,0.014735566,0.02986197,-8.05241,0.21878642,5.4882936,-0.047374215,-0.32777146,0.96011466,0.008816466,-1.0160621,0.004021758,-0.04433887,0.96486425,0.005726221,0.75616074,-0.00013534003,-0.13248084,18.843761,2.7765565
