ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly,is_forecast
1990-01-01,2.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1991-01-01,2.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1992-01-01,2.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1993-01-01,2.434,2.0370827,,,,,-0.96760535,,,,,-0.049043473,,,,,0.16109256,,,,,0.040864963,,,,,-0.1050012,,,,,8.134343,-5.177568,False
1994-01-01,2.559,2.2677605,2.0320683,,,,-0.856674,-0.95467997,,,,-0.06744609,0.1664573,,,,0.22153944,-0.05106213,,,,0.056198746,-0.044175547,,,,-0.14440088,-0.14301468,,,,8.238939,-5.180396,False
1995-01-01,2.747,2.4956112,2.3441443,2.8776865,,,-0.79287344,-0.8327886,-0.52056664,,,-0.15133819,-0.084156334,-5.984325,,,0.49709892,0.025815642,-16.986746,,,0.12610097,0.022333967,11.87312,,,-0.32401237,0.07230438,11.355568,,,8.321298,-5.180662,False
1996-01-01,2.843,3.1175277,2.580855,3.0867054,2.5996208,,-0.68619955,-0.7369017,-0.46405858,-0.43486992,,-0.63516355,-0.31195554,-8.538171,-0.19085309,,2.086315,0.0956949,-24.235939,0.3335039,,0.52924335,0.08278883,16.940044,-0.18167756,,-1.3598738,0.26802203,16.201624,-0.10968893,,8.36144,-5.1782336,False
1997-01-01,2.83,3.0499008,2.3895853,3.1686883,2.717691,2.9455469,-0.5678717,-0.6595822,-0.43888193,-0.39228582,-0.43161774,-0.40349132,0.40438348,-8.919824,-0.1457954,0.04331479,1.3253436,-0.12404793,-25.319275,0.2547684,-0.21755807,0.33620495,-0.10731797,17.697258,-0.13878608,0.07305978,-0.86386776,-0.34743312,16.925829,-0.08379294,0.25476524,8.401013,-5.17743,False
1998-01-01,2.682,2.993043,2.5123568,2.994512,2.8201118,3.060643,-0.5741019,-0.608197,-0.36111447,-0.386593,-0.39721355,-0.35053238,0.24144916,-3.0415,-0.023085684,0.06575914,1.15139,-0.074066505,-8.63342,0.0403408,-0.33028975,0.29207745,-0.064077385,6.0344486,-0.02197581,0.11091703,-0.75048363,-0.20744526,5.7714047,-0.013268028,0.38677648,8.405233,-5.1805396,False
1999-01-01,2.817,3.0114377,3.2529721,3.0771616,2.9099562,3.0975614,-0.7356078,-0.5003007,-0.30079153,-0.256315,-0.41387352,-0.53077114,-1.2166654,-3.4714727,-0.07987412,0.079793476,1.7434183,0.373222,-9.853915,0.13957506,-0.4007803,0.44225952,0.32288674,6.88753,-0.07603406,0.13458899,-1.1363716,1.0453192,6.5873003,-0.045906026,0.46932244,8.409453,-5.180943,False
