ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly,is_forecast
1990-01-01,9.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1991-01-01,9.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1992-01-01,9.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1993-01-01,9.53,9.187367,,,,,-0.4988636,,,,,-392.21207,,,,,78.64355,,,,,544.53217,,,,,-231.3852,,,,,7.085821,3.0219452,False
1994-01-01,9.388,9.630637,9.134228,,,,-0.49413058,-0.36945578,,,,45.8639,0.36750358,,,,-9.1963,-54.7746,,,,-63.675674,43.82202,,,,27.05737,10.013284,,,,7.0552125,3.0202625,False
1995-01-01,9.448,9.139712,9.187764,9.24723,,,-0.7315385,-0.40413806,-0.5227525,,,-141.62027,0.2773714,0.36265305,,,28.396679,-41.340843,-0.1782017,,,196.62016,33.07444,-1.067963,,,-83.54877,7.557473,0.63003385,,,7.0053587,3.0181007,False
1996-01-01,9.831,9.400112,9.036287,8.877012,9.011392,,-0.6496656,-0.45696878,-0.6022745,-0.17930807,,107.3195,0.28355584,0.65118486,-0.53323823,,-21.518938,-42.262596,-0.3199815,-4.2184772,,-148.99829,33.811882,-1.9176493,4.340568,,63.313053,7.725978,1.1312976,-0.33258715,,6.918968,3.0154667,False
1997-01-01,9.575,9.740359,9.080307,9.254266,9.10368,8.901732,-0.73920065,-0.4411987,-0.5268171,-0.18628612,-0.11518192,583.9642,0.21237552,0.10137111,-0.40291822,3.846406,-117.09232,-31.653524,-0.049812082,-3.1875088,0.9377794,-810.7536,25.324173,-0.29852384,3.279761,-13.83246,344.50922,5.7865458,0.17611112,-0.251305,8.213253,6.8299475,3.021989,False
1998-01-01,8.845,9.0886755,8.995792,8.874313,8.99075,8.813523,-0.707585,-0.27703857,-0.54562116,-0.34190586,-0.18329856,148.1552,0.23407842,0.31059903,-0.21822707,2.9490175,-29.707018,-34.888233,-0.15262322,-1.7264067,0.7189901,-205.693,27.912077,-0.914671,1.7763721,-10.605268,87.404045,6.377879,0.5396009,-0.13611089,6.2970543,6.6167727,3.020256,False
1999-01-01,8.598,8.71684,8.808929,8.644231,8.510263,8.836121,-0.17910357,-0.20156875,0.009761372,-0.31260487,-0.284797,-489.14926,0.264265,1.1262463,-0.42931977,1.3853385,98.080696,-39.387398,-0.5534188,-3.3963726,0.33775476,679.1161,31.511602,-3.3166394,3.49467,-4.98196,-288.5732,7.2003665,1.9566177,-0.26777196,2.9581213,6.403598,3.0180652,False
