ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly,is_forecast
1990-01-01,6.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1991-01-01,7.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1992-01-01,7.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1993-01-01,6.728,7.102372,,,,,0.7342264,,,,,0.41167763,,,,,0.0014861224,,,,,-0.16944957,,,,,-0.19225053,,,,,4.637951,1.6787312,False
1994-01-01,6.585,7.1336656,7.0196314,,,,0.6097763,0.3225405,,,,1.7702922,0.31403583,,,,0.0063906084,-0.040387213,,,,-0.72866535,-0.24598813,,,,-0.82671386,0.36684474,,,,4.624417,1.6781689,False
1995-01-01,6.65,6.748545,6.6978235,6.668807,,,0.33914703,0.02883738,-0.05158619,,,0.84695494,0.2909197,0.326926,,,0.0030574373,-0.037414316,-0.0678635,,,-0.34861293,-0.22788097,-0.20137309,,,-0.3955219,0.33984134,0.35918313,,,4.6268625,1.6766578,False
1996-01-01,6.909,6.560033,6.6061153,6.967764,7.0102777,,0.22826993,-0.12076595,0.41274562,0.9154115,,-0.016356723,0.3128965,0.17348088,-0.20557643,,-5.9046422e-05,-0.040240686,-0.03601127,0.002820249,,0.006732549,-0.24509567,-0.10685715,-0.09976058,,0.0076384735,0.3655138,0.19059792,0.06357537,,4.6596475,1.6741602,False
1997-01-01,6.762,6.6060677,6.543287,7.167349,7.2917414,6.945556,0.27054885,-0.05176991,0.40557867,1.0493746,0.78040206,-0.2898243,0.17775789,0.30586764,-0.11131625,0.16406621,-0.0010462418,-0.022860916,-0.0634922,0.0015271184,-0.09257207,0.119293846,-0.13923995,-0.18840198,-0.05401871,-0.046661966,0.1353459,0.20765004,0.33604702,0.034425016,-0.23142785,4.692937,1.6788129,False
1998-01-01,7.049,7.0110397,6.8044558,6.816308,6.853096,6.9139323,0.44124168,0.021917606,0.1569449,0.70206857,0.62534004,1.1507351,0.28385627,0.1830546,-0.23652963,0.10907783,0.004154059,-0.036505915,-0.037998587,0.0032448878,-0.06154564,-0.4736511,-0.22234812,-0.112754166,-0.11478131,-0.031022755,-0.5373851,0.33159015,0.20111623,0.073147774,-0.15386255,4.747716,1.6782293,False
1999-01-01,6.991,6.958572,7.110716,6.5984154,6.8210497,6.5402007,0.3163363,0.19456714,-0.012780267,0.40364465,0.39971742,1.3043247,0.34783587,0.10352908,-0.053151246,0.26897505,0.0047085043,-0.044734135,-0.021490632,0.00072916795,-0.15176542,-0.53686976,-0.2724641,-0.06376969,-0.025792835,-0.07649902,-0.60911036,0.40632868,0.113744095,0.016437244,-0.37940973,4.8024955,1.6766871,False
2000-01-01,6.85,7.0332537,6.7620096,6.833693,6.682129,6.7437353,0.479005,-0.09972231,0.0004800543,0.35542664,0.3176844,0.39899674,0.284469,0.25789014,-0.152859,0.06219638,0.0014403453,-0.036584716,-0.053533,0.0020970325,-0.03509344,-0.16423002,-0.22282808,-0.1588498,-0.07417826,-0.017689234,-0.18632863,0.3323059,0.28333566,0.04727229,-0.08773272,4.830179,1.6741905,False
2001-01-01,6.871,7.0786743,7.051171,6.9714003,6.6982183,7.061883,0.40695572,0.1879829,0.19217691,0.5674973,0.41518277,1.1774246,0.26958054,0.19973992,-0.33881852,-0.09702075,0.0042504054,-0.034669954,-0.04146214,0.0046481625,0.05474261,-0.4846367,-0.21116577,-0.123031646,-0.1644193,0.02759361,-0.5498489,0.31491378,0.21944787,0.10478105,0.13685514,4.8457336,1.6787958,False
2002-01-01,6.747,6.8229,6.889164,6.7166767,6.7581196,6.6474733,0.27943066,0.015889766,-0.0063246344,0.54954255,0.44385624,0.065766655,0.26907715,0.14724289,-0.28105593,0.26336148,0.00023741217,-0.034605213,-0.030564772,0.0038557325,-0.14859805,-0.027070044,-0.21077146,-0.09069563,-0.1363887,-0.074902475,-0.030712558,0.31432572,0.16177106,0.08691773,-0.37149137,4.8570924,1.6781554,False
2003-01-01,6.799,6.7385826,6.8753147,6.867743,6.81913,6.7184086,0.2719255,-0.05425916,0.24733494,0.615778,0.497871,-0.5696541,0.3118062,0.06472985,-0.28780648,0.25200653,-0.0020564042,-0.040100466,-0.013436662,0.0039483416,-0.14219117,0.23447387,-0.24424164,-0.039870948,-0.13966455,-0.07167302,0.2660244,0.36424017,0.07111662,0.08900536,-0.35547435,4.8611917,1.6766773,False
2004-01-01,6.769,6.504965,6.789317,6.7644634,6.8925624,6.859873,0.1728946,0.052676912,0.21482772,0.6852268,0.51882815,-1.6350142,0.15934612,0.01033074,-0.28316897,0.15518951,-0.0059022666,-0.02049303,-0.0021444615,0.003884721,-0.08756352,0.672984,-0.12481777,-0.0063633146,-0.1374141,-0.04413735,0.7635399,0.18614209,0.011350054,0.087571196,-0.2189066,4.8622303,1.6742324,False
2005-01-01,6.756,6.4206104,6.4776483,6.625924,6.6027594,6.6505365,0.2030269,-0.058098413,0.11240912,0.50534236,0.443488,-1.9186666,0.062337644,0.043979596,-0.3097468,0.19884303,-0.0069262283,-0.008017059,-0.009129313,0.004249335,-0.112194404,0.7897375,-0.048829846,-0.02708964,-0.15031159,-0.056552824,0.89600366,0.07282048,0.048318982,0.0957905,-0.2804832,4.7786922,1.6787434,False
2006-01-01,6.554,6.4282618,6.4165864,6.516398,6.420374,6.5458074,0.18447767,0.051572505,0.14721799,0.42215362,0.359029,-1.0375265,-0.0067428066,-0.0033758406,-0.3228636,0.14827105,-0.003745385,0.0008671724,0.0007007591,0.0044292808,-0.08365988,0.4270536,0.0052817236,0.0020793802,-0.1566768,-0.04216968,0.4845175,-0.007876691,-0.0037089284,0.09984692,-0.20914759,4.695382,1.6781023,False
2007-01-01,6.35,6.4056478,6.3412733,6.260982,6.341592,6.4183936,0.23134403,-0.00609904,0.03134961,0.32432154,0.2794126,-0.8494724,0.053235404,-0.03988903,-0.22646992,0.11238301,-0.0030665253,-0.0068464475,0.00828019,0.0031068812,-0.06341055,0.3496492,-0.04169995,0.024570016,-0.10989961,-0.031962786,0.39669758,0.062187586,-0.043824807,0.07003677,-0.15852478,4.603917,1.676579,False
2008-01-01,6.209,6.0522294,6.3075438,6.149831,6.2109895,6.353917,0.14690556,0.07841072,0.06571595,0.28414425,0.2446844,-2.2236195,0.03648603,-0.077782705,-0.22064233,0.058818225,-0.008027083,-0.00469236,0.016146183,0.003026934,-0.033187363,0.91525835,-0.028579956,0.047910973,-0.10707163,-0.016728453,1.0384145,0.042621598,-0.08545737,0.068234555,-0.08296757,4.5091033,1.6741943,False
2009-01-01,5.885,5.8319554,5.953907,6.08036,6.026637,6.290418,0.05954493,-0.024843002,0.046116833,0.28686497,0.23220336,-2.4499073,-0.079540655,-0.034842912,-0.29157722,0.016246127,-0.008843963,0.010229488,0.0072327135,0.0040000714,-0.0091666505,1.0084001,0.06230518,0.021461813,-0.1414944,-0.0046205507,1.1440893,-0.09291638,-0.038280796,0.09017147,-0.022916395,4.399885,1.6787872,False
2010-01-01,5.946,5.8984814,5.605515,6.0237265,5.811066,5.991235,0.02130828,-0.042192888,0.15988573,0.32657695,0.25478086,-0.55337435,-0.23772636,-0.06470665,-0.3973683,0.16668715,-0.0019976357,0.03057328,0.013431846,0.0054513915,-0.0940509,0.22777301,0.18621399,0.039856657,-0.19283187,-0.047407385,0.2584219,-0.27770293,-0.07109113,0.12288781,-0.23512489,4.2681184,1.6782317,False
2011-01-01,5.572,5.6038666,5.6057134,5.724811,5.7641964,5.6447144,-0.14154571,0.017906494,0.11313909,0.29118517,0.22978899,-0.58782566,-0.18395269,-0.1625123,-0.2975867,0.32080993,-0.0021220022,0.02365761,0.033734404,0.0040825135,-0.18101253,0.24195342,0.14409241,0.10010095,-0.14441061,-0.091241345,0.2745104,-0.21488658,-0.17854707,0.09202993,-0.45252678,4.142189,1.6767071,False
2012-01-01,5.59,5.398747,5.4832935,5.528799,5.6601443,5.5256867,-0.010096338,-0.15926114,0.08629194,0.14972116,0.14773454,-3.0722828,-0.11968503,-0.2747967,-0.24303979,0.32953367,-0.0110906875,0.015392336,0.057042465,0.0033341988,-0.18593478,1.2645745,0.09375077,0.16926356,-0.1179405,-0.09372247,1.4347343,-0.13981152,-0.30191034,0.07516107,-0.4648323,4.118728,1.6741799,False
2013-01-01,5.591,5.4612455,5.6175175,5.3971205,5.4304667,5.5380287,-0.18278636,0.13905157,0.08408127,0.07402262,0.066702895,-1.0397271,-0.2352587,-0.36150798,-0.3592568,0.24037251,-0.0037533292,0.030255923,0.07504205,0.0049285498,-0.13562682,0.4279594,0.18428104,0.22267416,-0.17433743,-0.068364196,0.48554516,-0.2748203,-0.39717725,0.11110167,-0.33906367,4.0952034,1.6788046,False
2014-01-01,5.067,5.3205237,5.1194787,5.2486253,5.087544,5.1134133,-0.16152048,-0.15169261,-0.10020299,-0.12062951,-0.056325078,-2.3507214,-0.40178177,-0.3349299,-0.48845723,0.48138365,-0.00848591,0.051671952,0.06952496,0.006701017,-0.27161402,0.96757436,0.31472057,0.20630316,-0.23703484,-0.13691004,1.0977701,-0.4693462,-0.36797678,0.15105744,-0.6790282,4.0976777,1.6782293,False
2015-01-01,5.116,5.34043,5.3843694,5.2078786,5.152246,5.0535793,-0.1470178,0.0015401618,0.12339604,-0.090318084,-0.07468564,-2.3922005,-0.32132843,-0.5505432,-0.46797878,0.52272844,-0.008635646,0.041325092,0.1142821,0.0064200778,-0.29494226,0.98464745,0.25170052,0.33911216,-0.22709718,-0.14866889,1.1171407,-0.37536368,-0.60486424,0.1447244,-0.7373482,4.109853,1.6766431,False
2016-01-01,5.155,5.2089996,5.2150626,5.0382953,5.224245,5.0935326,-0.5334822,0.08487173,-0.088394195,-0.15570858,-0.12934864,-0.43082157,-0.5302701,-0.5251623,-0.3582426,0.45540667,-0.0015552305,0.06819646,0.109013505,0.0049146367,-0.25695685,0.17732938,0.4153671,0.32347852,-0.17384528,-0.12952192,0.2011906,-0.6194414,-0.57697904,0.11078803,-0.64238566,4.1220274,1.6743115,False
2017-01-01,5.183,4.973384,4.8671045,5.0850325,4.9404387,5.110222,-0.5290122,-0.32937634,0.048988596,-0.26772577,-0.18151999,-2.484131,-0.4907137,-0.6092659,-0.5203235,0.41390246,-0.008967508,0.06310923,0.1264718,0.0071381815,-0.2335387,1.0224868,0.38438204,0.37528297,-0.25249866,-0.11771774,1.1600716,-0.5732331,-0.669381,0.16091222,-0.58384085,4.134236,1.6787006,False
