ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly,is_forecast
1990-01-01,13.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1991-01-01,12.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1992-01-01,11.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1993-01-01,11.774,12.443797,,,,,2.1645508,,,,,-3.3419905,,,,,4.9380846,,,,,2.5936615,,,,,-5.29291,,,,,7.868199,3.5142024,False
1994-01-01,11.535,11.674003,11.962739,,,,1.1612463,0.86452603,,,,-2.5897484,-0.036504477,,,,3.8265805,0.09738379,,,,2.0098593,-0.073594235,,,,-4.101539,-0.25667605,,,,7.847963,3.5196412,False
1995-01-01,11.46,11.295463,11.29616,11.835865,,,0.6390065,0.3285175,0.9784983,,,-2.198852,-0.05618558,-0.22745305,,,3.248997,0.1498875,0.25935963,,,1.7064914,-0.11327199,-0.06867043,,,-3.482453,-0.39506096,-0.48814243,,,7.8578334,3.5244398,False
1996-01-01,11.666,11.017577,11.463269,11.700882,12.311551,,0.34832135,0.24955337,0.7439794,2.7057002,,-2.3761125,-0.03250402,-0.21522309,3.636307,,3.5109148,0.086711675,0.24541406,-0.59538597,,1.8440602,-0.06552917,-0.06497808,-6.699549,,-3.7631912,-0.22854738,-0.46189544,1.8108937,,7.924861,3.5287237,False
1997-01-01,11.306,10.822116,11.317423,11.370792,11.626596,11.107965,0.087628976,0.08513985,0.2873678,1.6880273,-0.54685646,-2.3344078,-0.03696183,-0.18269877,3.0828052,0.05413676,3.4492922,0.09860388,0.20832732,-0.5047591,-0.005515777,1.8116937,-0.074516274,-0.055158652,-5.6797748,-0.020863792,-3.6971407,-0.25989187,-0.3920942,1.5352478,0.12201518,7.9909306,3.514119,False
1998-01-01,11.261,11.373802,11.050052,11.23412,11.152978,11.094954,0.3217027,0.07711802,0.19182828,0.801903,-0.5810704,-1.408401,-0.073724665,-0.20569962,2.294513,0.057481717,2.081036,0.19667688,0.23455468,-0.3756891,-0.005856581,1.0930359,-0.14863135,-0.06210285,-4.2274213,-0.022152908,-2.230569,-0.51838446,-0.4414569,1.1426754,0.12955415,7.997502,3.5194952,False
1999-01-01,10.963,11.209179,11.100512,11.403752,11.110302,10.955647,0.022302518,0.11670232,0.2095781,0.4961512,-0.1671201,-1.034553,-0.07379214,-0.14481442,1.7991669,-0.14660953,1.5286431,0.19685689,0.16512863,-0.29458424,0.014937456,0.8028989,-0.1487674,-0.043720976,-3.3147936,0.056501918,-1.6384835,-0.5188589,-0.31078967,0.89599144,-0.33043328,8.004073,3.524298,False
2000-01-01,10.99,11.256304,11.110762,11.228408,10.976269,10.689733,-0.14404161,-0.244176,-0.16444093,0.1868354,-0.17114036,-0.44038516,-0.025851334,-0.06623907,1.488343,-0.24754241,0.6507077,0.06896417,0.07553093,-0.2436919,0.025221102,0.3417754,-0.052117143,-0.019998262,-2.7421303,0.09540049,-0.6974643,-0.18177,-0.14215726,0.7412001,-0.5579191,8.017132,3.5285807,False
2001-01-01,11.171,11.045893,10.854794,11.023212,11.081908,11.137414,-0.47637084,-0.28444389,-0.033578917,0.21427846,-0.074722454,-0.07561344,-0.05528493,-0.21251383,1.3374245,-0.12112011,0.111725494,0.14748481,0.24232477,-0.21898146,0.01234044,0.05868229,-0.11145624,-0.06416013,-2.4640772,0.04667854,-0.11975352,-0.3887281,-0.45608106,0.6660421,-0.27298442,8.033149,3.5140734,False
2002-01-01,10.952,10.760169,10.745348,10.566563,10.788621,11.120422,-0.7055665,-0.5195703,-0.43110704,0.182916,0.0900046,-0.326274,-0.04180637,-0.24949126,1.904475,-0.19627926,0.48209846,0.11152776,0.2844893,-0.3118267,0.019998105,0.25321564,-0.08428302,-0.075324,-3.5088136,0.07564416,-0.5167396,-0.29395553,-0.5354392,0.9484351,-0.44238052,8.053853,3.5195825,False
2003-01-01,10.894,11.15547,10.86747,10.590929,10.414066,10.555853,-0.43584216,-0.4257082,-0.36778465,-0.24816571,-0.27319434,-0.048145697,-0.04255297,-0.2810049,1.85969,-0.28127304,0.07113949,0.11351948,0.3204236,-0.30449387,0.02865778,0.037365045,-0.08578819,-0.08483829,-3.4263012,0.10839996,-0.07625121,-0.29920515,-0.60307133,0.9261321,-0.63394225,8.082827,3.5243778,False
2004-01-01,10.678,10.838809,10.66532,10.68322,10.310924,10.94255,-0.537687,-0.33337817,-0.38349637,-0.4543327,-0.008413625,-0.8045715,-0.08718246,-0.24931565,1.7255665,-0.24981013,1.1888251,0.23257853,0.28428906,-0.28253338,0.025452148,0.62441415,-0.17576271,-0.07527098,-3.1791916,0.09627444,-1.274248,-0.61301106,-0.53506225,0.85933816,-0.5630301,8.113555,3.5285215,False
