ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,ar1,ar2,ar3,ar4,ar5,lagged_regressor_population1,lagged_regressor_population2,lagged_regressor_population3,lagged_regressor_population4,lagged_regressor_population5,lagged_regressor_gdp1,lagged_regressor_gdp2,lagged_regressor_gdp3,lagged_regressor_gdp4,lagged_regressor_gdp5,lagged_regressor_energy_use1,lagged_regressor_energy_use2,lagged_regressor_energy_use3,lagged_regressor_energy_use4,lagged_regressor_energy_use5,lagged_regressor_renewable_pct1,lagged_regressor_renewable_pct2,lagged_regressor_renewable_pct3,lagged_regressor_renewable_pct4,lagged_regressor_renewable_pct5,trend,season_yearly,is_forecast
1990-01-01,20.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1991-01-01,19.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1992-01-01,19.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1993-01-01,20.102,20.7802,,,,,0.78115475,,,,,-0.2513565,,,,,1.7921108,,,,,-0.40220273,,,,,-0.13023996,,,,,27.024273,-8.03354,False
1994-01-01,20.197,20.235092,20.412094,,,,0.7037103,1.0035399,,,,-0.14653978,0.5590923,,,,1.044793,0.28692853,,,,-0.23448248,-0.014407206,,,,-0.07592935,-0.3665982,,,,26.982967,-8.039428,False
1995-01-01,20.23,20.34867,20.532875,20.186468,,,0.8481824,0.9786272,0.8820092,,,-0.1419173,0.74910873,0.34334698,,,1.0118359,0.38444573,0.19630986,,,-0.22708592,-0.019303724,0.15747006,,,-0.07353422,-0.4911924,-0.32385704,,,26.973707,-8.042519,False
1996-01-01,20.679,20.244848,20.91597,20.876854,20.197784,,0.9656321,1.1824363,1.3265353,-0.057334792,,-0.073974416,0.9030112,0.5223286,-0.48628244,,0.52741957,0.46342912,0.29864326,2.1787221,,-0.11836857,-0.023269624,0.23955685,-0.5009641,,-0.038329724,-0.59210664,-0.49267888,0.081173845,,27.025284,-8.042814,False
1997-01-01,20.745,20.673338,20.948475,20.884243,21.010803,20.693048,1.0832711,1.3509156,1.5596002,0.7569473,0.89710605,-0.13600114,0.66494757,0.2576833,-0.46209782,0.60187864,0.96965504,0.3412539,0.14733136,2.0703664,0.43790615,-0.21761928,-0.017134983,0.11818192,-0.4760494,0.04591249,-0.07046877,-0.43600774,-0.24305601,0.07713677,-0.33425525,27.078003,-8.033502,False
1998-01-01,20.775,20.73774,20.732452,20.630589,20.998217,20.879164,1.2231244,1.4604421,1.7190311,0.79145044,1.0663713,-0.09260579,0.15495735,-0.21300742,-0.40641895,0.53637743,0.6602568,0.07952476,-0.12178775,1.8209046,0.3902498,-0.14818116,-0.0039930837,-0.0976921,-0.41868943,0.040915936,-0.047983535,-0.10160591,0.20091614,0.067842446,-0.29787895,27.182577,-8.039449,False
1999-01-01,20.806,20.785162,20.747175,20.4575,21.09709,21.264387,1.363875,1.7462051,1.809962,0.7228297,1.2896559,-0.044050325,-0.29289353,-0.5491799,-0.4316538,0.584826,0.3140681,-0.15031418,-0.31399557,1.9339659,0.4254993,-0.07048618,0.0075475513,-0.2518717,-0.44468614,0.04461169,-0.022824602,0.19205101,0.51800597,0.072054826,-0.32478502,27.287151,-8.042572,False
