country,year,population,energy_use,emissions,renewable_pct,mean_temp,gdp
Afghanistan,1990,12045660.0,,0.168,,14.993333333333332,
Albania,1990,3286542.0,813.3738012916433,1.684,,13.468666666666666,617.2304355155054
Algeria,1990,25375810.0,874.3984462126648,2.991,0.0,24.014416666666666,2445.183327402582
Andorra,1990,52597.0,,7.66,,12.455583333333337,19563.65747224881
Angola,1990,11626360.0,506.0989068261072,0.438,,22.466416666666664,965.8668404646654
Argentina,1990,32755901.0,1351.4827761251934,3.425,0.261,15.155083333333332,4315.334031115882
Armenia,1990,3552128.0,2170.259047176374,2.535,,9.258083333333332,635.3553275025167
Australia,1990,17065128.0,5047.63880316716,16.236,0.488,22.35575,18249.301453816865
Austria,1990,7677850.0,3240.4536695114907,8.098,2.293,7.344,21596.06821999802
Azerbaijan,1990,7175200.0,3158.922728258139,7.101,0.0,11.992,1238.271892748423
Bahrain,1990,514797.0,10576.137520989536,22.327,,26.344583333333333,9342.538914016885
Bangladesh,1990,111633717.0,114.23933585511983,0.126,0.0,25.28175,283.0537370552336
Barbados,1990,258582.0,1245.207787084948,4.011,,26.94316666666667,7781.405733061252
Belarus,1990,10189348.0,4457.437939809603,10.648,0.0,7.757416666666667,1706.6409188234345
Belgium,1990,9967379.0,4804.346185272989,12.081,0.398,10.935333333333332,20600.375278982698
Belize,1990,183076.0,580.1852782451004,1.701,,25.550333333333334,2988.649522602635
Benin,1990,5281479.0,314.6094367994628,0.11,,27.793833333333332,371.1016043323565
Bhutan,1990,589287.0,94.98758329981824,0.315,,12.205583333333337,488.32743147712944
Bolivia,1990,7130142.0,360.663520476773,1.405,,21.326083333333333,682.6768102953798
Bosnia and Herzegovina,1990,4448652.0,1577.4833806624006,4.467,,,1742.8826217176722
Botswana,1990,1305696.0,933.1061125230374,2.068,,22.94483333333333,2903.153815626107
Brazil,1990,149143223.0,942.3171822496756,1.466,1.732,25.27491666666667,2581.141874490781
Bulgaria,1990,8718289.0,3216.707600640057,8.687,0.0,11.597666666666669,2366.5298212861385
Burkina Faso,1990,9159356.0,172.69303108380328,0.065,,28.80633333333333,338.5937590551277
Burundi,1990,5587052.0,,0.037,,20.409333333333333,202.6294461762974
Cambodia,1990,7374752.0,,0.171,,27.25933333333333,190.18147003615908
Cameroon,1990,11331821.0,439.6060626258375,0.23,,24.889666666666667,1086.7170093708116
Canada,1990,27691138.0,7641.548766516818,16.482,0.823,-5.021916666666667,21525.86113871475
Chad,1990,5982833.0,296.8590444229497,0.063,,27.619250000000005,290.5990452621908
Chile,1990,13437176.0,1042.6392469680534,2.449,5.234,9.83125,2487.76829657299
China,1990,1135185000.0,773.2501166738408,2.153,0.01,7.636,318.5033535903898
Colombia,1990,32440069.0,751.4433751755861,1.753,0.716,25.219166666666663,1474.8455285341977
"Congo, Dem. Rep.",1990,36684063.0,321.6698662384261,,,,254.87265629250865
"Congo, Rep.",1990,2380560.0,330.7438158385229,,,,1175.6670909842803
Costa Rica,1990,3121706.0,537.2090433854662,0.932,,26.29025,1829.6687089559
Cote d'Ivoire,1990,12189778.0,356.50211728130324,0.392,,,885.6478422149276
Croatia,1990,4777368.0,1983.3381355929123,4.733,0.114,12.434416666666666,5369.109785906815
Cuba,1990,10631799.0,1637.4664978798226,2.788,,26.133416666666665,2694.3169795769218
Cyprus,1990,788351.0,1740.2841054530534,5.896,0.0,19.194416666666665,9641.5751953125
Czechia,1990,10333355.0,4819.655849021881,15.944,0.0,,3969.367335437936
Denmark,1990,5140939.0,3375.493331458125,10.402,0.732,-17.870333333333335,26885.699418819087
Djibouti,1990,579538.0,224.41435764350223,0.512,,29.303,780.4977193607252
Dominican Republic,1990,7151166.0,561.1529194564845,1.249,,26.171166666666668,989.1639412076594
Ecuador,1990,10473673.0,604.3851854376808,1.575,0.0,22.43475,1455.0074851087052
"Egypt, Arab Rep.",1990,58396618.0,575.6278160517926,,,,735.9829350280247
El Salvador,1990,5399726.0,457.24059295381466,0.458,,25.5665,892.1827151970303
Equatorial Guinea,1990,474274.0,280.0537307854805,0.131,,25.285,236.4021883762649
Eritrea,1990,2032737.0,,,,27.448083333333333,
Estonia,1990,1569174.0,6818.484473044289,23.503,0.0,6.698583333333333,
Ethiopia,1990,47609755.0,368.2479867175476,0.063,,23.379583333333333,262.108971053707
Fiji,1990,773316.0,369.5852665663196,1.036,,25.4005,1728.9407687119904
Finland,1990,4986431.0,5691.623437956387,11.415,9.492,2.9432500000000004,28366.204276070952
France,1990,58261012.0,3840.292844089526,6.929,0.459,14.038833333333336,21586.467461748296
Gabon,1990,983734.0,1201.0835917296545,4.559,,24.570833333333336,6050.714689995232
"Gambia, The",1990,1054696.0,58.58702507642012,,,,300.63989574038123
Georgia,1990,4802000.0,2585.8127248419614,2.725,,8.84425,1610.9802714686828
Germany,1990,79433029.0,4421.752984115248,13.233,0.295,9.6895,22385.677825027487
Ghana,1990,15394648.0,343.73650463143105,0.228,,27.24475,382.5424636835398
Greece,1990,10196792.0,2102.6948802179254,8.133,0.0,15.499333333333334,9466.662385021744
Grenada,1990,99957.0,424.9266884760447,1.063,,27.20566666666667,2782.1839687361858
Guatemala,1990,9024773.0,488.84052678413406,0.516,,23.599500000000003,847.6885618303594
Guinea,1990,6434374.0,,0.15,,26.011166666666668,604.304422702532
Guinea-Bissau,1990,973669.0,76.65296522740273,0.098,,,651.3376406509944
Guyana,1990,749894.0,509.5198521391023,1.505,,26.565750000000005,528.8510953429941
Haiti,1990,6854441.0,350.8725031699813,0.145,,26.942916666666665,451.7202496892161
Honduras,1990,4980488.0,477.827221914214,0.503,,25.2095,988.4592737812882
Hungary,1990,10373988.0,2774.667748268573,7.073,0.07,10.920333333333334,3323.5396723763274
Iceland,1990,254826.0,9058.440535724258,8.719,6.361,1.7747500000000005,25384.915022630248
India,1990,864972221.0,323.5958307311664,0.668,0.013,24.17816666666667,371.0859362037652
Indonesia,1990,183501098.0,461.47874965682007,0.845,3.405,26.23783333333333,578.4201211353821
"Iran, Islamic Rep.",1990,58380092.0,1187.464402657199,,,,2137.94222739878
Iraq,1990,17581206.0,1140.0685739563146,2.826,0.0,22.5415,10261.415770688827
Ireland,1990,3513974.0,2820.543498210965,9.375,0.0,10.312666666666669,14031.302567546856
Israel,1990,4660000.0,2460.481767549893,7.882,0.0,20.12983333333333,13308.311060238037
Italy,1990,56719240.0,2584.078987553536,7.684,1.534,13.716916666666668,20873.78340927193
Jamaica,1990,2379877.0,1098.848269122522,3.163,,26.740250000000003,1929.5989190585683
Japan,1990,123478000.0,3538.3917603575374,9.359,1.286,13.590583333333331,25801.39503930941
Jordan,1990,3621908.0,903.9379597774048,2.924,,19.92158333333333,1148.5900546989938
Kazakhstan,1990,17154054.0,4281.894452893823,15.588,0.0,6.55575,1570.0088311259071
Kenya,1990,22892651.0,472.55858876799806,0.253,,24.132416666666668,374.458992895562
Kiribati,1990,74855.0,95.0191036002939,0.294,,27.075666666666667,488.0675278760144
"Korea, Dem. People's Rep.",1990,21112137.0,1573.5952969486937,,,,
"Korea, Rep.",1990,42869283.0,2088.0216276071656,,,,6609.997283161748
Kosovo,1990,1973790.0,,,,,
Kuwait,1990,1684819.0,5364.147857258839,22.473,0.0,25.75858333333333,10937.541526880796
Kyrgyz Republic,1990,4391236.0,1704.8742556402503,,,,605.7981449664884
Latvia,1990,2663151.0,2962.615353637424,7.391,0.0,7.325666666666668,
Lebanon,1990,3595175.0,543.4791747135897,2.189,,18.18458333333333,789.5263384847376
Lesotho,1990,1809696.0,,0.814,,14.14725,329.5637851572028
Liberia,1990,2223667.0,,0.205,,25.88158333333333,172.86761012327835
Libya,1990,4445239.0,2512.507619227717,8.214,,23.101,6502.278865654206
Liechtenstein,1990,28742.0,,6.882,,5.91725,49457.56093432035
Lithuania,1990,3697838.0,4344.382521988525,9.672,0.0,7.978416666666665,
Luxembourg,1990,381850.0,8874.233752527589,30.938,1.613,10.590916666666669,33465.47820791899
Madagascar,1990,12055639.0,224.5012613785284,0.078,,23.124166666666667,326.0992532219784
Malawi,1990,9545852.0,,0.077,,22.28025,286.73059896826936
Malaysia,1990,17833171.0,1188.8245298729598,3.043,0.0,26.418916666666664,2468.690803201161
Mali,1990,9178830.0,,0.046,,29.32108333333333,292.1845320916087
Malta,1990,354170.0,1961.642556145557,6.598,0.0,19.56175,7192.389946939621
Mauritania,1990,1951878.0,,0.437,,28.536416666666668,772.0330921402192
Mauritius,1990,1058775.0,629.432901957499,1.342,,23.840666666666667,2539.928464674518
Mexico,1990,82820170.0,1502.6591619605583,3.825,4.357,20.960833333333333,3154.46920349038
Moldova,1990,2977912.0,3322.285792899287,8.201,,10.875583333333331,1206.5020870497744
Monaco,1990,30358.0,,,,10.135333333333334,81734.86649680113
Mongolia,1990,2098710.0,1631.637348632479,4.523,,0.6622500000000002,1220.1712766413657
Montenegro,1990,606372.0,,3.56,,11.242583333333334,
Morocco,1990,24375551.0,312.5523093551817,0.915,0.0,18.697666666666667,1229.07104492188
Mozambique,1990,13094537.0,443.8130728082512,0.078,,24.200666666666667,
Myanmar,1990,39817251.0,268.25889624373616,0.106,,,53.12254010945059
Namibia,1990,1369303.0,0.0,,,21.33683333333333,2037.4758935977816
Nepal,1990,19524573.0,296.5595080825845,0.037,,15.272333333333334,185.7946004499034
Netherlands,1990,14951510.0,4488.695993407261,10.847,0.948,11.000333333333332,21322.194480270347
New Zealand,1990,3329800.0,3894.978490900624,7.504,9.054,11.269333333333334,13663.021618429788
